date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:44	84/84	---M--	200	added ('OK')	text/plain	etag:%2222332900881142cb099483a08239abf8%22	https://dvdrod.com/robots.txt		(from )
11:00:44	63786/63786	---MCZ	200	added ('OK')	text/html	etag:W/%225132b1740a9ada96c673e7aab6e0cfb0%22	https://dvdrod.com/	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.html	(from )
11:00:45	3058/3058	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226e1f197167ca0afae6a9a1b1b2fadb8f%22	https://dvdrod.com/favicon.ico	D:/Me/Portfolio/Iam-Athul/dvdrod.com/favicon.ico	(from https://dvdrod.com/)
11:00:45	2906/2906	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266610847e257400a6ff87311942aba75%22	https://dvdrod.com/favicon.svg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/favicon.svg	(from https://dvdrod.com/)
11:00:46	44760/44760	---M--	200	added ('OK')	image/png	etag:%2291b7b29178115b9cca77b4052890e520%22	https://dvdrod.com/apple-touch-icon.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/apple-touch-icon.png	(from https://dvdrod.com/)
11:00:46	124/124	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:46%20GMT	https://dvdrod.com/caixabank.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/caixabank.3.delayed	(from https://dvdrod.com/)
11:00:47	33686/33686	---MCZ	200	added ('OK')	text/html	etag:W/%226d43fe0781d0ef473deab6820ebd408f%22	https://dvdrod.com/caixabank	D:/Me/Portfolio/Iam-Athul/dvdrod.com/caixabank	(from https://dvdrod.com/)
11:00:47	130/130	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:47%20GMT	https://dvdrod.com/gymondo-premium.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/gymondo-premium.5.delayed	(from https://dvdrod.com/)
11:00:48	38079/38079	---MCZ	200	added ('OK')	text/html	etag:W/%2222df0c47b20edbba47afcf1deca5843e%22	https://dvdrod.com/gymondo-premium	D:/Me/Portfolio/Iam-Athul/dvdrod.com/gymondo-premium	(from https://dvdrod.com/)
11:00:48	133/133	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:48%20GMT	https://dvdrod.com/gymondo-challenges.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/gymondo-challenges.7.delayed	(from https://dvdrod.com/)
11:00:49	37664/37664	---MCZ	200	added ('OK')	text/html	etag:W/%22bc0976b04d21626e3e99c7e420a4a974%22	https://dvdrod.com/gymondo-challenges	D:/Me/Portfolio/Iam-Athul/dvdrod.com/gymondo-challenges	(from https://dvdrod.com/)
11:00:50	121/121	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:50%20GMT	https://dvdrod.com/zattoo.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/zattoo.9.delayed	(from https://dvdrod.com/)
11:00:50	36390/36390	---MCZ	200	added ('OK')	text/html	etag:W/%22dd491b2f162be8238dbb2ae36d93c376%22	https://dvdrod.com/zattoo	D:/Me/Portfolio/Iam-Athul/dvdrod.com/zattoo	(from https://dvdrod.com/)
11:00:51	134/134	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:51%20GMT	https://dvdrod.com/neotaste-onboarding.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/neotaste-onboarding.b.delayed	(from https://dvdrod.com/)
11:00:52	54506/54506	---MCZ	200	added ('OK')	text/html	etag:W/%22ba2323ac37c0c298bb7221d9b58f1d67%22	https://dvdrod.com/neotaste-onboarding	D:/Me/Portfolio/Iam-Athul/dvdrod.com/neotaste-onboarding	(from https://dvdrod.com/)
11:00:53	130/130	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:53%20GMT	https://dvdrod.com/neotaste-quests.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/neotaste-quests.d.delayed	(from https://dvdrod.com/)
11:00:54	72836/72836	---MCZ	200	added ('OK')	text/html	etag:W/%2269b363ed3e3f288dc04812de7690d487%22	https://dvdrod.com/neotaste-quests	D:/Me/Portfolio/Iam-Athul/dvdrod.com/neotaste-quests	(from https://dvdrod.com/)
11:00:54	220370/220370	---M--	200	added ('OK')	image/webp	etag:%22a9653e26214353d10942cdc7f9849393%22	https://dvdrod.com/images/quest-case.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/quest-case.webp	(from https://dvdrod.com/)
